query_id,query_source,alpha,threshold_formula,returned_results,relevant_top5,has_relevant_top5,mean_similarity,std_similarity
img2img_001,Lionel_Messi.jpg,0.0,mean + 0.0 * std,73,2,1,0.392066,0.089657
img2img_001,Lionel_Messi.jpg,0.2,mean + 0.2 * std,50,2,1,0.392066,0.089657
img2img_001,Lionel_Messi.jpg,0.3,mean + 0.3 * std,42,2,1,0.392066,0.089657
img2img_001,Lionel_Messi.jpg,0.5,mean + 0.5 * std,29,2,1,0.392066,0.089657
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.0,mean + 0.0 * std,61,2,1,0.463360,0.107498
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.2,mean + 0.2 * std,45,2,1,0.463360,0.107498
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.3,mean + 0.3 * std,41,2,1,0.463360,0.107498
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.5,mean + 0.5 * std,35,2,1,0.463360,0.107498
img2img_003,89332423.jpg,0.0,mean + 0.0 * std,81,2,1,0.499266,0.076621
img2img_003,89332423.jpg,0.2,mean + 0.2 * std,60,2,1,0.499266,0.076621
img2img_003,89332423.jpg,0.3,mean + 0.3 * std,53,2,1,0.499266,0.076621
img2img_003,89332423.jpg,0.5,mean + 0.5 * std,40,2,1,0.499266,0.076621
img2img_004,89404014.jpg,0.0,mean + 0.0 * std,82,1,1,0.458154,0.083381
img2img_004,89404014.jpg,0.2,mean + 0.2 * std,66,1,1,0.458154,0.083381
img2img_004,89404014.jpg,0.3,mean + 0.3 * std,56,1,1,0.458154,0.083381
img2img_004,89404014.jpg,0.5,mean + 0.5 * std,43,1,1,0.458154,0.083381
img2img_005,89407459.jpg,0.0,mean + 0.0 * std,72,1,1,0.458140,0.084021
img2img_005,89407459.jpg,0.2,mean + 0.2 * std,62,1,1,0.458140,0.084021
img2img_005,89407459.jpg,0.3,mean + 0.3 * std,56,1,1,0.458140,0.084021
img2img_005,89407459.jpg,0.5,mean + 0.5 * std,38,1,1,0.458140,0.084021
